Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

2580	1	2580	7,60093975
2590	1	2590	7,60216045
2600	1	2600	7,603381
2610	1	2610	7,60246563
2620	1	2620	7,60216045
2630	1	2630	7,60246563
2640	1	2640	7,603381
2650	1	2650	7,60185528
2660	0	2660	7,60063457
2670	0	2670	7,60063457
2680	0	2680	7,60093975
2690	0	2690	7,60155
2700	0	2700	7,60216045
2710	0	2710	7,603076
2720	0	2720	7,60246563
2730	0	2730	7,60246563
2740	0	2740	7,603381
2750	0	2750	7,60368633
2760	0	2760	7,603076
2770	0	2770	7,603381
2780	1	2780	7,603076
2790	1	2790	7,60216045
2800	1	2800	7,60216045
2810	1	2810	7,601245
2820	1	2820	7,60063457
2830	1	2830	7,601245
2840	1	2840	7,60185528
2850	0	2850	7,60185528
2860	0	2860	7,60185528
2870	0	2870	7,60216045
2880	0	2880	7,60246563
2890	0	2890	7,603076
2900	0	2900	7,603076
2910	0	2910	7,603076
2920	0	2920	7,603381
2930	0	2930	7,603381
2940	0	2940	7,60368633
2950	0	2950	7,60429668
2960	0	2960	7,606738
2970	0	2970	7,606738
2980	0	2980	7,604907
2990	0	2990	7,60429668
3000	0	3000	7,603381
3010	0	3010	7,603381
3020	0	3020	7,603076
3030	0	3030	7,60246563
3040	0	3040	7,603076
3050	0	3050	7,603381
3060	0	3060	7,60399151
3070	0	3070	7,60368633
3080	0	3080	7,60368633
3090	0	3090	7,60429668
3100	0	3100	7,60368633
3110	0	3110	7,603076
